,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,mp1926,mp1939,mp1959,mp1970,spop1926,spop1939,spop1959,spop1970,smp1926,smp1939,smp1959,smp1970,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
71,212,Konosha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,60.98,40.24,3718.5604,1619.2576,2453.8352,0,0,NA,NA,20118.87839,43196.07791,62380.20477999999,80120.01782000001,0.0,0.0,NA,NA,98.19648338,113.92370859999998,121.9037533,127.4930269,0,0,0,0,1,0,0,0,0
72,213,Voloshka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.33,40.1,3761.3689,1608.01,2459.333,0,0,NA,NA,19428.453380000003,41848.45977,60426.044420000006,77566.592,0.0,0.0,NA,NA,97.50563056,113.2481259,121.201945,126.7626513,0,0,0,0,1,0,0,0,0
73,214,Ertsevo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,60.8,40.09,3696.64,1607.2081,2437.472,0,0,NA,NA,20619.31242,44198.37959,63716.4645,81823.4961,0.0,0.0,NA,NA,98.68402642,114.41390159999999,122.3722307,127.9685774,0,0,0,0,1,0,0,0,0
74,215,Podiuga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.09,40.86,3731.9881,1669.5396,2496.1374,0,0,NA,NA,19635.40874,42237.06248,61333.82423,78832.6392,0.0,0.0,NA,NA,97.71500003,113.4449379,121.5304887,127.12748300000001,0,0,0,0,1,0,0,0,0
76,218,Privodino,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.07,46.49,3729.5449,2161.3201,2839.1443,0,0,NA,NA,17871.96023,39057.36419,59650.110889999996,77300.60191,0.0,0.0,NA,NA,95.86345181,111.783819,120.91754240000002,126.6853128,0,0,0,0,1,0,0,0,0
77,219,Udimskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.14,46.92,3738.0996,2201.4864,2868.6888,0,0,NA,NA,17521.59022,38496.20269,59524.13012,77729.18763,0.0,0.0,NA,NA,95.47613694,111.47801319999999,120.8710496,126.80980819999999,0,0,0,0,1,0,0,0,0
78,220,Kharitonovo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.41,47.5,3771.1881,2256.25,2916.975,0,0,NA,NA,16585.04557,36322.869380000004,56185.31555,73477.86409,0.0,0.0,NA,NA,94.40564424,110.2542595,119.6050793,125.5461866,0,0,0,0,1,0,0,0,0
79,221,Cheremushskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.27,47.27,3754.0129,2234.4529,2896.2329,0,0,NA,NA,17001.99564,37242.63534,58316.771570000004,77453.99569,0.0,0.0,NA,NA,94.88875659,110.78003490000002,120.4208848,126.7299426,0,0,0,0,1,0,0,0,0
80,222,Shipitsyno,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.28,46.53,3755.2384,2165.0409,2851.3584,0,0,NA,NA,17665.40277,39155.10344,60850.30266,79473.69377,0.0,0.0,NA,NA,95.63594773,111.836675,121.35604709999998,127.3101814,0,0,0,0,1,0,0,0,0
81,224,Krasnoborsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.56,45.94,3789.6336,2110.4836,2828.0664,989,0,NA,NA,16908.6389,36899.82746,55930.30902000001,72446.14231,47.5643927,0.0,NA,NA,94.78151692,110.58546000000001,119.50560049999999,125.2294993,0,0,0,0,1,0,0,0,0
82,227,Urdoma,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.76,48.55,3814.2976,2357.1025,2998.448,0,0,NA,NA,15610.76834,34281.82933,53092.709,68944.55706,0.0,0.0,NA,NA,93.23285597,109.04310659999999,118.3699369,124.123172,0,0,0,0,1,0,0,0,0
83,228,Iarensk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.17,49.11,3865.1089,2411.7921,3053.1687,949,0,NA,NA,14907.775319999999,32848.83919,51163.902689999995,66395.33034,46.996629799999994,0.0,NA,NA,92.34514614,108.1531712,117.56608490000002,123.28509199999999,0,0,0,0,1,0,0,0,0
84,231,Leshukonskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.9,45.77,4212.01,2094.8929,2970.473,0,0,NA,NA,12907.76903,28407.65546,42786.83358,55379.411739999996,0.0,0.0,NA,NA,89.59729295,105.1530054,113.7205912,119.28927959999999,0,0,0,0,1,0,0,0,0
86,235,Kamenka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,65.89,44.11,4341.4921,1945.6921,2906.4079,0,0,NA,NA,12512.30635,27404.01589,40829.96366,52754.31276,0.0,0.0,NA,NA,89.00918545,104.4166151,112.7243305,118.23084509999998,0,0,0,0,1,0,0,0,0
87,237,Niandoma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,27.0,61.67,40.21,3803.1889,1616.8441,2479.7507,4373,14906,21668,23400,18567.32861,39943.5328,57774.03622,74316.52208,70.27811855,92.34285725,99.67210516,101.21348520000001,96.6123625,112.2587304,120.21575940000001,125.8006429,0,0,0,0,1,0,0,0,0
88,238,Shalakusha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,27.0,62.22,40.27,3871.3284,1621.6729,2505.5994,0,0,NA,NA,17606.47281,38102.2596,55215.16359,71027.9833,0.0,0.0,NA,NA,95.57060393,111.26091299999999,119.22440590000001,124.78742520000002,0,0,0,0,1,0,0,0,0
